Date,AAPL,MSFT,AMZN,GOOGL
05/01/2012,12.80015469,22.44539452,177.6100006,329.8348389
06/01/2012,12.93396473,22.79408073,182.6100006,325.3353271
09/01/2012,12.91344833,22.49404907,178.5599976,311.5415344
10/01/2012,12.95968437,22.57513809,179.3399963,311.881897
11/01/2012,12.93855858,22.47783089,178.8999939,313.2933044
12/01/2012,12.90303707,22.70487213,175.9299927,315.1351318
13/01/2012,12.85465717,22.9076004,178.4199982,312.8078003
17/01/2012,13.00439167,22.91571236,181.6600037,314.6046143
18/01/2012,13.13942623,22.89138222,189.4400024,316.771759
19/01/2012,13.09778404,22.80218887,194.4499969,320.1051025
20/01/2012,12.86966324,24.09149551,190.9299927,293.2882996
23/01/2012,13.08736992,24.10772514,186.0899963,293.0530396
24/01/2012,12.87303257,23.7914753,187,290.7557678
25/01/2012,13.67681026,23.96986008,187.8000031,285.0300293
26/01/2012,13.61464882,23.92121315,193.3200073,284.3343201
27/01/2012,13.69579411,23.70227051,195.3699951,290.2802734
30/01/2012,13.8712492,24.01040649,192.1499939,289.1341248
31/01/2012,13.97749996,23.94553757,194.4400024,290.3453369
01/02/2012,13.96861935,24.2374649,179.4600067,290.705719
02/02/2012,13.93585491,24.28611755,181.7200012,292.8478394
03/02/2012,14.07548523,24.52127266,187.6799927,298.4634705
06/02/2012,14.20684624,24.4888401,183.1399994,304.8498535
07/02/2012,14.35565948,24.61046982,184.1900024,303.6886902
08/02/2012,14.59602928,24.86184311,185.4799957,305.2302246
09/02/2012,15.10095692,24.95103836,184.9799957,306.0360413
10/02/2012,15.10861206,24.73209953,185.5399933,303.2582703
13/02/2012,15.38970566,24.79697227,191.5899963,306.4064026
14/02/2012,15.59976196,24.69085693,191.3000031,305.1851807
15/02/2012,15.23874378,24.52761078,184.4700012,303.0830688
16/02/2012,15.37776566,25.53973961,179.9299927,303.5635681
17/02/2012,15.37500954,25.50708771,182.5,302.6226196
21/02/2012,15.76479912,25.66217995,182.2599945,307.307312
22/02/2012,15.70937443,25.52340889,180.5800018,304.2742615
23/02/2012,15.81195831,25.60503387,178.8899994,303.3583679
24/02/2012,15.99629116,25.69482613,179.1300049,305.255249
27/02/2012,16.09887123,25.58871269,178.5299988,304.9599609
28/02/2012,16.39435387,26.01314926,183.8000031,309.5045166
29/02/2012,16.60961533,25.90703773,179.6900024,309.4344482
01/03/2012,16.671772,26.35596848,180.0399933,311.5115051
02/03/2012,16.69350624,26.18456459,179.3000031,310.9359436
05/03/2012,16.32545471,25.95601654,180.2599945,307.4324341
06/03/2012,16.23665428,25.76011467,181.0899963,302.7827759
07/03/2012,16.24982452,25.988657,183.7700043,303.7037048
08/03/2012,16.59583473,26.12742233,187.6399994,303.8738708
09/03/2012,16.69320297,26.11109924,184.3200073,300.425415
12/03/2012,16.90234375,26.15191078,183.3899994,302.8778687
13/03/2012,17.39532661,26.66612625,184.5899963,309.1991882
14/03/2012,18.05305099,26.74774933,182.2599945,308.3033142
15/03/2012,17.92995834,26.81305504,184.4299927,310.875885
16/03/2012,17.93026161,26.60899925,185.0500031,312.8328247
19/03/2012,18.40579414,26.28250885,185.5200043,317.307312
20/03/2012,18.55460548,26.11109924,192.3300018,317.0620728
21/03/2012,18.4486599,26.04579926,191.7299957,320.3103027
22/03/2012,18.35189819,26.11925888,192.3999939,323.3483582
23/03/2012,18.25115776,26.12742233,195.0399933,321.6166077
26/03/2012,18.58583641,26.60083199,202.8699951,324.9899902
27/03/2012,18.81549072,26.54369926,205.4400024,323.8338318
28/03/2012,18.91163635,26.27433777,201.1600037,328.2082214
29/03/2012,18.67402077,26.21720886,204.6100006,324.529541
30/03/2012,18.35833549,26.3314724,202.5099945,320.9409485
02/04/2012,18.9425621,26.35596848,198.0500031,323.783783
03/04/2012,19.26989174,26.0702858,199.6600037,321.6316223
04/04/2012,19.11648178,25.47443581,193.9900055,317.8928833
05/04/2012,19.40339661,25.72746849,194.3899994,316.4764709
09/04/2012,19.48147964,25.38465309,191.8699951,315.7357483
10/04/2012,19.24294662,24.87043381,186.9799957,313.7437439
11/04/2012,19.17436028,24.77248764,187.9700012,318.2983093
12/04/2012,19.06932831,25.28671265,190.6900024,325.8308411
13/04/2012,18.53225517,25.14794731,188.4600067,312.6126099
